ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
292,1,2,5,N/A,N/A,N/A,5,3,N/A,N/A,1,1,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
293,5,3,4,N/A,4,N/A,5,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296,N/A,5,N/A,N/A,5,5,5,5,N/A,N/A,5,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A
297,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4
304,4,4,5,N/A,5,5,5,3,N/A,N/A,3,N/A,4,4,4,4,N/A,N/A,N/A,N/A
307,3,4,2,N/A,5,N/A,5,4,5,N/A,3,5,N/A,2,1,3,N/A,N/A,N/A,N/A
313,N/A,4,4,N/A,4,4,4,4,4,4,4,5,N/A,4,3,4,N/A,N/A,N/A,5
314,3,N/A,5,3,5,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,5,2,N/A,N/A,N/A,N/A
315,4,4,4,1,4,N/A,5,2,N/A,N/A,4,4,2,5,N/A,3,N/A,N/A,3,3
316,5,4,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5,4,5,1
320,N/A,N/A,4,2,5,N/A,4,4,N/A,N/A,N/A,N/A,5,4,4,N/A,N/A,N/A,N/A,N/A
323,N/A,4,4,N/A,5,N/A,5,5,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
325,N/A,N/A,3,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A,N/A
326,N/A,4,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
329,N/A,3,1,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A
335,5,5,5,5,N/A,N/A,3,5,1,1,5,N/A,3,3,5,1,1,1,1,5
338,3,4,4,5,5,5,5,5,N/A,N/A,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
339,4,4,5,N/A,N/A,N/A,5,4,N/A,N/A,5,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
340,4,N/A,3,N/A,4,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
344,N/A,N/A,N/A,N/A,4,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A
347,N/A,3,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
348,5,5,5,5,5,5,5,5,N/A,N/A,5,4,4,N/A,3,2,N/A,N/A,N/A,N/A
349,4,5,5,N/A,3,N/A,4,4,4,N/A,N/A,5,N/A,5,N/A,4,N/A,N/A,N/A,N/A
352,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A
353,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
356,3,4,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,N/A,N/A,3,N/A,4,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
355,N/A,N/A,4,N/A,N/A,4,4,4,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
361,N/A,N/A,5,N/A,2,N/A,1,2,N/A,4,4,4,1,3,1,N/A,N/A,N/A,N/A,N/A
